dataset,hardness_metric,seed,weighting_strategy,mean_similarity,mean_real_score,mean_synth_score,std_real_score,std_synth_score,score_difference
NewThyroid2,feature_CB,116740,static,0.8718098180875468,0.2695586592990631,0.25725470065914696,0.0,0.0005411707006008816,0.012303958639916124
BCWDD,feature_TD_U,26226,self_paced,0.7768353108053296,0.23027166246111871,0.2191229812851844,0.003694782700702773,0.001021416979712157,0.011148681175934316
NewThyroid2,feature_CB,116740,self_paced,0.6907178293278032,0.2695586592990631,0.2936331729970907,0.0,0.006790009583678815,0.0240745136980276
NewThyroid2,feature_CB,26226,curriculum,0.9077831061844374,0.2726460846149061,0.27001230088429246,0.0,0.0006948797183803309,0.002633783730613626
BCWDD,feature_CL,670488,curriculum,0.869772646863807,0.22541749030518263,0.21111688974445467,0.0018249600297177721,0.00472218947035656,0.01430060056072796
NewThyroid2,feature_CB,26226,static,0.889614574792143,0.2726460846149061,0.2654851393307449,0.0,0.0037548563102852237,0.007160945284161169
BCWDD,feature_CL,670488,static,0.8613989460138147,0.22541749030518263,0.21855507306309271,0.0018249600297177721,0.003439716995035415,0.006862417242089913
NewThyroid2,feature_CB,26226,self_paced,0.8866806834808294,0.2726460846149061,0.2773643000824602,0.0,0.0017805081483550753,0.004718215467554132
NewThyroid2,feature_N1,670488,curriculum,0.6342584237218994,0.2665847395040548,0.30471149091205235,0.0,0.008754560034757783,0.03812675140799754
BCWDD,feature_CL,670488,self_paced,0.8047125391454816,0.22541749030518263,0.19691988836457863,0.0018249600297177721,0.0011236336660508984,0.028497601940603995
NewThyroid2,feature_N1,670488,static,0.7033280242218158,0.2665847395040548,0.2789231264472429,0.0,0.0008968761677591332,0.012338386943188062
BCWDD,feature_CL,116740,curriculum,0.8109912176645276,0.23406454032850854,0.21622830834445605,0.0012323269940856857,0.002413349932859083,0.017836231984052486
NewThyroid2,feature_N1,670488,self_paced,0.8120599216846481,0.2665847395040548,0.2677006084375368,0.0,0.00960465251271275,0.0011158689334819782
NewThyroid2,feature_N1,116740,curriculum,0.6248458422551119,0.2695586592990631,0.31120848930477807,0.0,0.0008957397867121317,0.04164983000571498
BCWDD,feature_CL,116740,static,0.8183440251808498,0.23406454032850854,0.21674574867540708,0.0012323269940856857,0.0019328698586679812,0.017318791653101462
NewThyroid2,feature_N1,116740,static,0.6671032069565778,0.2695586592990631,0.2974632264430645,0.0,0.002643158057748274,0.027904567144001413
